Date,Open,High,Low,Close,Adj Close,Volume
2015-10-14,5234.600098,5234.600098,5198.799805,5230.399902,5230.399902,862383200
2015-10-15,5230.399902,5273.200195,5230.399902,5265.600098,5265.600098,841546900
2015-10-16,5265.600098,5329.200195,5265.600098,5303.700195,5303.700195,788976800
2015-10-19,5303.700195,5328.200195,5290.299805,5304.600098,5304.600098,645032100
2015-10-20,5304.600098,5304.600098,5265.100098,5271.600098,5271.600098,651631500
2015-10-21,5271.600098,5296.799805,5236.100098,5286.500000,5286.500000,685001000
2015-10-22,5286.500000,5300.299805,5256.399902,5299.600098,5299.600098,758697200
2015-10-23,5299.600098,5407.700195,5299.600098,5388.100098,5388.100098,888104500
2015-10-26,5388.100098,5420.600098,5385.000000,5386.299805,5386.299805,648611600
2015-10-27,5386.299805,5393.500000,5378.399902,5384.600098,5384.600098,695537500
2015-10-28,5384.600098,5392.899902,5358.799805,5374.399902,5374.399902,768361900
2015-10-29,5374.399902,5392.200195,5301.700195,5310.200195,5310.200195,823793900
2015-10-30,5310.200195,5310.799805,5253.000000,5288.600098,5288.600098,941820900
2015-11-02,5288.600098,5299.200195,5218.200195,5221.299805,5221.299805,630761600
2015-11-03,5221.299805,5298.000000,5221.299805,5291.200195,5291.200195,543224200
2015-11-04,5291.200195,5361.399902,5288.200195,5294.799805,5294.799805,791986500
2015-11-05,5294.799805,5299.399902,5223.200195,5247.899902,5247.899902,727047700
2015-11-06,5239.799805,5271.000000,5210.000000,5269.700195,5269.700195,701178800
2015-11-09,5269.700195,5269.700195,5164.700195,5180.299805,5180.299805,785999300
2015-11-10,5180.299805,5180.299805,5109.200195,5157.700195,5157.700195,1074787800
2015-11-11,5157.700195,5188.500000,5153.200195,5181.100098,5181.100098,796692900
2015-11-12,5181.100098,5204.200195,5143.100098,5182.200195,5182.200195,775535400
2015-11-13,5182.200195,5182.200195,5071.799805,5111.799805,5111.799805,876937200
2015-11-16,5111.799805,5111.799805,5041.600098,5064.500000,5064.500000,657576600
2015-11-17,5064.500000,5174.299805,5064.500000,5174.299805,5174.299805,808229400
2015-11-18,5174.299805,5200.200195,5141.299805,5189.100098,5189.100098,767940900
2015-11-19,5293.299805,5293.299805,5293.299805,5293.299805,5293.299805,0
2015-11-20,5293.299805,5321.100098,5282.799805,5305.500000,5305.500000,706773200
2015-11-23,5305.500000,5334.500000,5295.899902,5326.500000,5326.500000,736828600
2015-11-24,5326.500000,5326.500000,5277.000000,5277.000000,5277.000000,1172629900
2015-11-25,5277.000000,5282.600098,5244.399902,5245.200195,5245.200195,765684100
2015-11-26,5245.200195,5302.200195,5238.000000,5259.700195,5259.700195,771576300
2015-11-27,5259.700195,5305.799805,5244.799805,5251.399902,5251.399902,805668700
2015-11-30,5251.399902,5261.600098,5217.100098,5218.200195,5218.200195,1587991600
2015-12-01,5218.200195,5325.500000,5218.200195,5312.600098,5312.600098,1010956900
